charges_citation,race,age_at_booking,gender,booking_date,jail_id,bail_status,housing_location,charges,bail_amount,discharge_date_earliest
625 ILCS 5 11-501(a) [14041],LW,23,M,2013-01-20T00:00:00,2013-0120143,None,11-AF-3-304,,5000,None
189950 ILCS 72 50 [16718],LW,30,F,2013-01-20T00:00:00,2013-0120141,None,04-L-2-19-1,,10000,None
720 ILCS 5 16-3(a) [1025000],BK,19,M,2013-01-20T00:00:00,2013-0120140,None,05-L-2-4-1,,10000,None
625 ILCS 5 6-303(a) [13526],BK,24,F,2013-01-20T00:00:00,2013-0120139,None,04-J-2-13-1,,10000,None
625 ILCS 5 4-103(a)(1) [571000,BK,17,M,2013-01-20T00:00:00,2013-0120138,None,05-E-2-19-2,,25000,None
720 ILCS 5 16A-3(a) [1060000],LW,43,M,2013-01-20T00:00:00,2013-0120137,None,05-E-2-18-1,,25000,None
720 ILCS 5 12-3(a)(1) [10529],BK,25,M,2013-01-20T00:00:00,2013-0120136,None,05-L-2-6-2,,10000,None
720 ILCS 5 24-1.6(a)(2) [15730,BK,17,M,2013-01-20T00:00:00,2013-0120135,None,10-A-1-11-2,,50000,None
625 ILCS 5 6-303(a) [13526],BK,25,M,2013-01-20T00:00:00,2013-0120134,None,05-,,10000,None
720 ILCS 5 16A-3(a) [15601],WH,26,F,2013-01-20T00:00:00,2013-0120133,None,17-WR-N-A-2,,5000,None
720 ILCS 5 24-1.8(a)(1) [15061,BK,20,M,2013-01-20T00:00:00,2013-0120130,None,05-,,75000,None
720 ILCS 5 12-3(a)(1) [10529],BK,20,M,2013-01-20T00:00:00,2013-0120129,None,05-E-2-20-1,,5000,None
720 ILCS 5 16A-3(a) [1060000],BK,19,M,2013-01-20T00:00:00,2013-0120127,None,11-DC-1-109,,5000,None
720 ILCS 5 18-2(a)(2) [12366],BK,22,M,2013-01-20T00:00:00,2013-0120126,None,05-,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,21,M,2013-01-20T00:00:00,2013-0120125,None,05-E-2-2-1,,10000,None
720 ILCS 5 12-1(a) [920000],BK,32,M,2013-01-20T00:00:00,2013-0120124,None,05-E-2-4-2,,10000,None
720 ILCS 5 12-3.2(a)(1) [10416,WH,41,M,2013-01-20T00:00:00,2013-0120123,None,05-E-2-3-2,,10000,None
720 ILCS 5 12-3.05(d)(4) [1610,BK,19,F,2013-01-20T00:00:00,2013-0120122,None,04-K-2-10-1,,10000,None
720 ILCS 5 12-3(a)(1) [10529],LW,25,F,2013-01-20T00:00:00,2013-0120121,None,17-WR-N-A-2,,10000,None
625 ILCS 5 6-303(a) [14056],BK,35,M,2013-01-20T00:00:00,2013-0120120,None,05-L-2-3-2,,100000,None
,BK,46,M,2013-01-20T00:00:00,2013-0120119,,10-D-2-10-2,,None,None
190050 ILCS 72 50 [16722],BK,32,F,2013-01-20T00:00:00,2013-0120118,None,17-WR-N-D-2,,5000,None
625 ILCS 5 12-211(a) [6560000],BK,28,M,2013-01-20T00:00:00,2013-0120117,None,05-E-2-5-1,,5000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,34,M,2013-01-20T00:00:00,2013-0120115,None,05-E-2-10-1,,10000,None
720 ILCS 5 24-1.6(a)(2) [15730,BK,17,M,2013-01-20T00:00:00,2013-0120114,None,05-,,50000,None
720 ILCS 5 16-1(a)(1) [1014500,LW,22,M,2013-01-20T00:00:00,2013-0120113,None,05-E-2-11-1,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,LT,36,M,2013-01-20T00:00:00,2013-0120112,None,05-E-2-12-1,,5000,None
720 ILCS 570 402(c) [5101110],BK,34,M,2013-01-20T00:00:00,2013-0120111,None,05-,,10000,None
720 ILCS 5 12-3.05(a)(1) [1609,BK,19,M,2013-01-20T00:00:00,2013-0120110,NO BOND,09-1D-1-138,,None,None
720 ILCS 5 11-14(a) [12379],BK,55,F,2013-01-20T00:00:00,2013-0120109,None,04-,,5000,None
720 ILCS 5 24-1(a)(9) [1211500,BK,18,M,2013-01-20T00:00:00,2013-0120108,None,05-L-2-17-1,,50000,None
720 ILCS 570 402(c) [5101110],BK,53,M,2013-01-20T00:00:00,2013-0120107,None,09-1C-1-136,,50000,None
625 ILCS 5 4-103(a)(1) [571000,BK,38,M,2013-01-20T00:00:00,2013-0120106,None,05-,,50000,None
720 ILCS 5 18-1(a) [1100000],BK,17,M,2013-01-20T00:00:00,2013-0120105,None,05-L-2-19-2,,30000,None
720 ILCS 5 16A-3(a) [1060000],WH,41,F,2013-01-20T00:00:00,2013-0120102,None,04-Q-1-17-1,,25000,None
720 ILCS 5 24-1.6(a)(1) [12474,BK,20,M,2013-01-20T00:00:00,2013-0120101,None,05-L-2-14-2,,15000,None
720 ILCS 5 12-3.05(d)(4) [1610,BK,22,M,2013-01-20T00:00:00,2013-0120100,None,09-,,250000,None
625 ILCS 5 6-303(a) [13526],BK,30,M,2013-01-20T00:00:00,2013-0120099,None,05-E-2-10-2,,75000,None
000,BK,19,M,2013-01-20T00:00:00,2013-0120098,NO BOND,05-,,None,None
515 ILCS 5 1-200 [4570600],BK,22,M,2013-01-20T00:00:00,2013-0120096,None,05-,,100000,None
720 ILCS 5 11-14(a) [12379],BK,22,F,2013-01-20T00:00:00,2013-0120095,NO BOND,08-2W-DR,,None,None
720 ILCS 5 17-3 [11968],WH,25,M,2013-01-20T00:00:00,2013-0120094,None,11-BB-1-210,,10000,None
720 ILCS 570 401(d)(i) [509720,BK,22,M,2013-01-20T00:00:00,2013-0120093,NO BOND,05-,,None,None
720 ILCS 5 21-1(1)(a) [1140000,LT,23,M,2013-01-20T00:00:00,2013-0120092,None,05-,,5000,None
720 ILCS 600 3.5(a) [10613],WH,30,M,2013-01-20T00:00:00,2013-0120090,None,08-2N-DR,,50000,None
,BK,32,M,2013-01-20T00:00:00,2013-0120089,,05-E-2-3-1,,None,None
720 ILCS 550 5.2(d) [10365],BK,23,M,2013-01-20T00:00:00,2013-0120088,None,05-E-2-11-2,,25000,None
625 ILCS 5 6-303(a) [5880100],LT,19,M,2013-01-20T00:00:00,2013-0120087,None,05-E-2-12-2,,5000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,20,M,2013-01-20T00:00:00,2013-0120086,None,05-E-2-14-1,,5000,None
720 ILCS 5 11-14(a) [855900],BK,26,F,2013-01-20T00:00:00,2013-0120085,None,04-N-2-2-2,,2500,None
720 ILCS 5 18-2(a)(2) [12366],BK,28,M,2013-01-20T00:00:00,2013-0120084,None,05-,,450000,None
625 ILCS 5 11-501(a)(1) [14721,LW,50,M,2013-01-20T00:00:00,2013-0120083,None,05-E-2-16-2,,10000,None
720 ILCS 5 24-1.1(a) [12310],BK,24,M,2013-01-20T00:00:00,2013-0120082,None,09-1C-1-136,,75000,None
720 ILCS 5 18-2(a)(2) [12366],BK,31,M,2013-01-20T00:00:00,2013-0120081,None,01-,,450000,None
720 ILCS 5 12-2(c)(1) [16214],BK,30,M,2013-01-20T00:00:00,2013-0120080,None,05-E-2-15-1,,50000,None
720 ILCS 550 5.2(d) [10365],BK,33,M,2013-01-20T00:00:00,2013-0120079,None,05-L-2-16-2,,10000,None
720 ILCS 570 402(c) [5101110],LW,50,M,2013-01-20T00:00:00,2013-0120078,NO BOND,05-L-2-18-2,,None,None
720 ILCS 5 16A-3(a) [1060000],BK,24,M,2013-01-20T00:00:00,2013-0120077,None,05-E-2-13-2,,5000,None
720 ILCS 570 401(c)(1) [13009],BK,19,M,2013-01-20T00:00:00,2013-0120076,NO BOND,05-,,None,None
625 ILCS 5 11-501(a)(2) [14722,BK,49,M,2013-01-20T00:00:00,2013-0120075,None,05-E-2-16-1,,20000,None
625 ILCS 5 6-303(a) [5880000],BK,28,M,2013-01-20T00:00:00,2013-0120074,None,05-,,10000,None
720 ILCS 550 5(d) [5020300],BK,44,M,2013-01-20T00:00:00,2013-0120073,None,05-L-2-20-1,,100000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,31,M,2013-01-20T00:00:00,2013-0120072,None,05-,,5000,None
720 ILCS 570 402(c) [5101110],BK,17,M,2013-01-20T00:00:00,2013-0120071,None,05-,,50000,None
720 ILCS 5 18-1(a) [1100000],BK,19,M,2013-01-20T00:00:00,2013-0120070,None,02-,,50000,None
720 ILCS 5 16-1(a)(3)(C) [1016,LW,37,M,2013-01-20T00:00:00,2013-0120069,NO BOND,08-3W-DR,,None,None
720 ILCS 5 24-1.1(a) [1214500],BK,25,M,2013-01-20T00:00:00,2013-0120068,None,01-,,100000,None
720 ILCS 5 12-3.2(a)(2) [10418,LT,33,M,2013-01-20T00:00:00,2013-0120067,None,05-E-2-14-2,,5000,None
720 ILCS 5 19-3(a) [1120000],LW,44,M,2013-01-20T00:00:00,2013-0120066,None,05-L-2-12-1,,100000,None
720 ILCS 570 402(c) [5101110],BK,52,M,2013-01-20T00:00:00,2013-0120065,None,03-A-1-14-1,,100000,None
720 ILCS 5 12-3.05(f)(1) [1612,WH,42,M,2013-01-20T00:00:00,2013-0120064,None,08-2N-DR,,30000,None
720 ILCS 5 12-3(a)(1) [10529],BK,34,M,2013-01-20T00:00:00,2013-0120062,None,05-E-2-13-1,,10000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,33,M,2013-01-20T00:00:00,2013-0120061,None,05-L-2-9-2,,50000,None
720 ILCS 570 402(c) [5101110],BK,27,M,2013-01-20T00:00:00,2013-0120060,None,05-,,75000,None
720 ILCS 550 4(a) [5015000],BK,23,M,2013-01-20T00:00:00,2013-0120059,None,05-F-2-17-1,,5000,None
720 ILCS 570 402(c) [5101110],BK,42,M,2013-01-20T00:00:00,2013-0120058,None,10-B-1-23-2,,10000,None
720 ILCS 5 12-3(a)(1) [10529],BK,41,M,2013-01-20T00:00:00,2013-0120057,None,05-,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,AS,50,M,2013-01-20T00:00:00,2013-0120056,None,02-D1-A-2-A,,50000,None
720 ILCS 5 12-2(a) [16202],BK,29,M,2013-01-20T00:00:00,2013-0120055,None,05-F-2-15-2,,5000,None
625 ILCS 5 11-501(a)(1) [14721,BK,30,M,2013-01-20T00:00:00,2013-0120054,None,05-F-2-15-1,,10000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,32,M,2013-01-20T00:00:00,2013-0120053,None,08-2N-DR,,25000,None
720 ILCS 570 401(d)(i) [509720,BK,46,M,2013-01-20T00:00:00,2013-0120052,NO BOND,05-,,None,None
720 ILCS 570 402(c) [5101110],BK,24,M,2013-01-20T00:00:00,2013-0120051,None,05-L-2-9-1,,25000,None
720 ILCS 5 26-1(a)(1) [1255000,WH,53,M,2013-01-20T00:00:00,2013-0120050,None,08-2N-DR,,5000,None
720 ILCS 5 21-5 [1170000],BK,18,M,2013-01-20T00:00:00,2013-0120049,None,05-K-1-2-2,,3500,None
625 ILCS 5 11-501(a)(1) [11394,LW,43,M,2013-01-20T00:00:00,2013-0120048,None,08-3W-DR,,15000,None
720 ILCS 570 402(c) [5101110],BK,22,M,2013-01-20T00:00:00,2013-0120047,None,05-L-2-11-1,,10000,None
720 ILCS 570 402(c) [5101110],BK,35,M,2013-01-20T00:00:00,2013-0120046,None,05-E-2-2-2,,10000,None
720 ILCS 5 31-4.5(a) [14901],BK,18,M,2013-01-20T00:00:00,2013-0120045,None,05-E-2-1-1,,5000,None
720 ILCS 5 10-3 [775000],LT,45,M,2013-01-20T00:00:00,2013-0120044,None,01-,,1000000,None
720 ILCS 5 21-1.3(a) [10381],LT,26,M,2013-01-20T00:00:00,2013-0120043,None,02-D4-RU-1-,,5000,None
720 ILCS 5 21-1(1)(a) [1140000,BK,55,M,2013-01-20T00:00:00,2013-0120042,None,10-A-1-18-1,,5000,None
720 ILCS 5 16A-3(a) [15599],BK,43,M,2013-01-20T00:00:00,2013-0120041,None,02-D4-QU-1-,,50000,None
720 ILCS 5 18-1(a) [1100000],BK,46,M,2013-01-20T00:00:00,2013-0120040,None,05-E-2-9-2,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,LW,40,M,2013-01-20T00:00:00,2013-0120039,None,08-2N-DR,,75000,None
720 ILCS 5 18-1(a) [1100000],BK,18,M,2013-01-20T00:00:00,2013-0120038,None,10-A-1-11-1,,250000,None
720 ILCS 5 24-1.1(a) [12310],BK,31,M,2013-01-20T00:00:00,2013-0120037,None,05-,,150000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,53,M,2013-01-20T00:00:00,2013-0120036,None,03-B-1-5-1,,10000,None
720 ILCS 5 18-5(a) [10734],BK,21,M,2013-01-20T00:00:00,2013-0120035,NO BOND,01-,,None,None
720 ILCS 570 402(c) [5101110],BK,37,M,2013-01-20T00:00:00,2013-0120034,None,05-E-2-8-1,,10000,None
720 ILCS 5 31-1(a) [14798],BK,36,M,2013-01-20T00:00:00,2013-0120033,None,05-E-2-6-2,,25000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,22,M,2013-01-20T00:00:00,2013-0120032,None,05-E-2-9-1,,10000,None
720 ILCS 5 9-1(a)(1) [735000],LT,36,M,2013-01-20T00:00:00,2013-0120031,NO BOND,08-2N-DR,,None,None
720 ILCS 5 26-1(a)(1) [1255000,BK,49,M,2013-01-20T00:00:00,2013-0120030,None,05-E-2-7-2,,25000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,19,M,2013-01-20T00:00:00,2013-0120029,None,05-E-2-6-1,,10000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,59,M,2013-01-20T00:00:00,2013-0120028,None,05-L-2-3-1,,10000,None
189950 ILCS 72 50 [16718],BK,48,M,2013-01-20T00:00:00,2013-0120027,None,05-E-2-1-2,,25000,None
625 ILCS 5 6-303(a) [5880000],BK,31,M,2013-01-20T00:00:00,2013-0120026,None,02-,,10000,None
720 ILCS 5 21-3(a)(2) [11496],BK,51,M,2013-01-20T00:00:00,2013-0120025,None,02-,,5000,None
720 ILCS 5 16-1(a)(1) [15464],BK,47,M,2013-01-20T00:00:00,2013-0120024,NO BOND,10-B-2-7-2,,None,None
000,BK,40,M,2013-01-20T00:00:00,2013-0120023,NO BOND,03-B-2-20-2,,None,None
720 ILCS 5 16-3(a) [1025000],WH,55,M,2013-01-20T00:00:00,2013-0120022,None,02-D2-W-3-W,,10000,None
720 ILCS 570 402(c) [5101110],BK,20,M,2013-01-20T00:00:00,2013-0120021,NO BOND,10-A-1-23-2,,None,None
720 ILCS 570 402(c) [5101110],BK,17,M,2013-01-20T00:00:00,2013-0120020,None,05-E-2-8-2,,25000,None
720 ILCS 5 12-3.2(a)(2) [10418,BK,29,M,2013-01-20T00:00:00,2013-0120019,None,05-E-2-7-1,,5000,None
720 ILCS 5 18-2(a)(2) [12366],BK,22,M,2013-01-20T00:00:00,2013-0120018,NO BOND,01-,,None,None
625 ILCS 5 6-303(a) [5880000],LT,20,M,2013-01-20T00:00:00,2013-0120016,None,05-E-2-5-2,,25000,None
720 ILCS 5 24-1.6(a)(1) [12474,WH,35,M,2013-01-20T00:00:00,2013-0120015,None,03-B-3-8-1,,100000,None
720 ILCS 5 12-3.2(a)(1) [10416,LT,44,M,2013-01-20T00:00:00,2013-0120014,None,05-E-2-4-1,,10000,None
720 ILCS 5 18-1(a) [1100000],BK,25,M,2013-01-20T00:00:00,2013-0120013,None,05-,,250000,None
720 ILCS 5 12-3.2(a)(1) [10416,LT,23,M,2013-01-20T00:00:00,2013-0120012,None,05-E-2-15-2,,5000,None
720 ILCS 570 401(d) [11996],BK,41,M,2013-01-20T00:00:00,2013-0120011,None,05-E-2-17-1,,50000,None
625 ILCS 5 11-501(a) [13665],BK,20,M,2013-01-20T00:00:00,2013-0120009,None,02-,,50000,None
720 ILCS 5 19-2(a) [1115000],BK,44,M,2013-01-20T00:00:00,2013-0120008,None,03-B-2-2-2,,25000,None
720 ILCS 550 4(c) [5015200],BK,26,M,2013-01-20T00:00:00,2013-0120007,None,10-A-3-23-1,,10000,None
510 ILCS 70 3.01 [12708],BK,22,M,2013-01-20T00:00:00,2013-0120005,None,05-E-2-17-2,,25000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,50,M,2013-01-20T00:00:00,2013-0120004,None,05-F-2-19-2,,50000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,68,M,2013-01-20T00:00:00,2013-0120003,None,08-2N-DR,,25000,None
720 ILCS 5 25-1.1(a)(4) [14355,LT,19,M,2013-01-20T00:00:00,2013-0120002,None,05-L-2-10-2,,5000,None
625 ILCS 5 6-101 [12933],LW,27,M,2013-01-19T00:00:00,2013-0119228,None,11-CD-1-110,,20000,None
720 ILCS 5 16A-3(a) [1060000],BK,18,M,2013-01-19T00:00:00,2013-0119227,None,05-D-2-16-2,,5000,None
625 ILCS 5 11-501(a)(2) [11309,LW,37,M,2013-01-19T00:00:00,2013-0119226,NO BOND,05-M-2-8-2,,None,None
625 ILCS 5 11-501(d)(1) [60610,LT,38,M,2013-01-19T00:00:00,2013-0119225,None,05-D-2-17-1,,10000,None
720 ILCS 5 16A-3(a) [1060000],BK,50,M,2013-01-19T00:00:00,2013-0119224,None,05-M-2-10-2,,25000,None
720 ILCS 5 12-3.4(a)(1) [16128,W,34,M,2013-01-19T00:00:00,2013-0119222,None,08-2N-DR,,50000,None
625 ILCS 5 6-303(a) [5880000],WH,48,M,2013-01-19T00:00:00,2013-0119221,None,15-HP,,5000,None
720 ILCS 550 8(e) [14347],WH,51,M,2013-01-19T00:00:00,2013-0119219,None,08-3N-DR,,100000,None
720 ILCS 570 402(c) [5101110],WH,33,M,2013-01-19T00:00:00,2013-0119216,NO BOND,05-M-2-9-1,,None,None
720 ILCS 5 31-1 [1330000],BK,29,M,2013-01-19T00:00:00,2013-0119215,None,05-D-2-15-2,,10000,None
720 ILCS 550 4(b) [5015100],BK,20,M,2013-01-19T00:00:00,2013-0119214,None,05-M-2-9-2,,10000,None
720 ILCS 5 16A-3(a) [1060000],BK,37,M,2013-01-19T00:00:00,2013-0119213,None,05-D-2-16-1,,10000,None
625 ILCS 5 6-303(a) [5880000],LW,25,M,2013-01-19T00:00:00,2013-0119212,None,05-D-2-15-1,,5000,None
720 ILCS 5 16A-3(a) [1060000],BK,21,M,2013-01-19T00:00:00,2013-0119211,None,05-D-2-7-1,,5000,None
720 ILCS 5 12-3.05(d)(4) [1610,BK,52,M,2013-01-19T00:00:00,2013-0119210,NO BOND,08-2N-DR,,None,None
720 ILCS 5 9-1(a)(1) [735000],BK,18,M,2013-01-19T00:00:00,2013-0119209,NO BOND,08-2N-DR,,None,None
720 ILCS 5 9-1(a)(1) [735000],BK,26,M,2013-01-19T00:00:00,2013-0119208,NO BOND,08-2N-DR,,None,None
720 ILCS 5 17-3(a)(1) [1080000,BK,58,M,2013-01-19T00:00:00,2013-0119207,None,10-D-1-18-2,,5000,None
720 ILCS 570 402(c) [5101110],BK,17,M,2013-01-19T00:00:00,2013-0119205,None,05-D-2-4-2,,10000,None
720 ILCS 5 24-1.1(a) [1214500],LT,47,M,2013-01-19T00:00:00,2013-0119204,None,05-D-2-2-1,,50000,None
720 ILCS 5 16-1(a)(1) [15469],BK,17,M,2013-01-19T00:00:00,2013-0119203,None,11-AG-3-312,,25000,None
625 ILCS 5 6-303(a) [5880000],BK,59,M,2013-01-19T00:00:00,2013-0119202,None,05-D-2-2-2,,5000,None
720 ILCS 5 17-3(a)(1) [1080000,WH,35,M,2013-01-19T00:00:00,2013-0119201,None,11-AD-1-208,,25000,None
720 ILCS 570 402(c) [5101110],WH,30,M,2013-01-19T00:00:00,2013-0119197,NO BOND,10-B-2-10-1,,None,None
625 ILCS 5 6-303(d) [5883000],LW,35,M,2013-01-19T00:00:00,2013-0119196,None,11-AH-3-303,,10000,None
625 ILCS 5 11-501(a) [14041],LW,25,M,2013-01-19T00:00:00,2013-0119195,None,11-BC-1-202,,10000,2013-01-20T07:34:29.899783
720 ILCS 5 11-14(a) [855900],WH,24,F,2013-01-19T00:00:00,2013-0119194,None,04-Q-1-19-2,,10000,None
625 ILCS 5 6-101 [5800300],LW,22,M,2013-01-19T00:00:00,2013-0119193,None,05-D-2-3-1,,10000,None
720 ILCS 5 12-3(a)(1) [10529],BK,22,F,2013-01-19T00:00:00,2013-0119192,None,04-I-1-5-1,,100000,None
720 ILCS 5 29B-1(a)(1) [13191],BK,39,M,2013-01-19T00:00:00,2013-0119191,None,05-M-2-14-1,,250000,None
,BK,36,F,2013-01-19T00:00:00,2013-0119190,,04-N-2-15-1,,None,None
720 ILCS 5 12-3.2(a)(1) [10416,LW,28,M,2013-01-19T00:00:00,2013-0119189,None,02-D2-V-3-V,,10000,None
625 ILCS 5 11-501(a)(1) [14721,WH,22,F,2013-01-19T00:00:00,2013-0119188,None,04-Q-1-16-1,,25000,None
720 ILCS 5 12-3.4(a)(1) [16143,WH,44,M,2013-01-19T00:00:00,2013-0119187,None,08-3N-DR,,10000,None
720 ILCS 5 16-1(a)(4)(A) [1122,BK,22,F,2013-01-19T00:00:00,2013-0119186,None,17-WR-N-A-2,,10000,None
720 ILCS 550 4(d) [5015500],BK,23,M,2013-01-19T00:00:00,2013-0119185,None,05-,,100000,2013-01-20T06:14:25.363824
625 ILCS 5 3-703 [5665000],BK,27,F,2013-01-19T00:00:00,2013-0119184,None,04-P-1-23-2,,100,None
720 ILCS 5 24-1.1(a) [12310],BK,25,M,2013-01-19T00:00:00,2013-0119183,None,05-M-2-14-2,,75000,None
720 ILCS 5 12-3.2(a)(2) [10418,WH,25,M,2013-01-19T00:00:00,2013-0119182,None,05-D-2-1-2,,50000,None
625 ILCS 5 11-501(a) [12809],LW,32,M,2013-01-19T00:00:00,2013-0119181,None,05-D-2-4-1,,10000,None
720 ILCS 5 16A-3(a) [1060000],LT,33,M,2013-01-19T00:00:00,2013-0119180,None,05-D-2-3-2,,10000,None
720 ILCS 570 401(a)(2)(A) [509,BK,37,F,2013-01-19T00:00:00,2013-0119179,NO BOND,04-I-2-18-2,,None,None
625 ILCS 5 11-501(a) [14019],LW,40,M,2013-01-19T00:00:00,2013-0119177,None,11-BD-1-202,,5000,None
720 ILCS 130 2a [427100],WH,22,F,2013-01-19T00:00:00,2013-0119176,None,04-I-2-19-1,,2500,None
720 ILCS 5 12-3.2(a)(1) [10416,WH,48,M,2013-01-19T00:00:00,2013-0119175,None,05-D-2-7-2,,50000,None
720 ILCS 570 402(c) [5101110],BK,17,M,2013-01-19T00:00:00,2013-0119174,None,05-D-2-8-1,,10000,None
625 ILCS 5 4-103(a)(1) [571000,BK,23,M,2013-01-19T00:00:00,2013-0119173,None,11-DH-3-310,,5000,None
189950 ILCS 72 50 [16718],BK,31,F,2013-01-19T00:00:00,2013-0119172,None,04-L-2-2-2,,10000,None
720 ILCS 5 12-3.2(a)(1) [10416,BK,35,M,2013-01-19T00:00:00,2013-0119170,None,05-D-2-8-2,,10000,None
720 ILCS 5 16G-20(a)(1) [14500,LW,29,F,2013-01-19T00:00:00,2013-0119169,None,04-P-1-6-2,,50000,None
720 ILCS 570 402(c) [5101110],BK,26,M,2013-01-19T00:00:00,2013-0119168,None,05-M-2-10-1,,10000,None
720 ILCS 5 16A-3(a) [1060000],BK,18,M,2013-01-19T00:00:00,2013-0119166,None,05-D-2-9-1,,5000,None
720 ILCS 570 401(c)(1) [13009],BK,31,M,2013-01-19T00:00:00,2013-0119164,None,10-B-2-17-2,,25000,None
625 ILCS 5 11-501(a) [14019],BK,45,M,2013-01-19T00:00:00,2013-0119163,None,08-3W-DR,,50000,None
720 ILCS 570 402(c) [5101110],BK,59,M,2013-01-19T00:00:00,2013-0119162,NO BOND,05-M-2-13-1,,None,None
625 ILCS 5 6-303(a) [5880000],WH,36,F,2013-01-19T00:00:00,2013-0119161,None,04-J-1-7-1,,10000,None
000,LW,25,M,2013-01-19T00:00:00,2013-0119160,NO BOND,05-M-2-13-2,,None,None
720 ILCS 5 16A-3(a) [1060000],BK,18,F,2013-01-19T00:00:00,2013-0119159,None,04-J-2-5-2,,10000,None
,BK,22,M,2013-01-19T00:00:00,2013-0119158,,05-D-2-19-2,,None,None
625 ILCS 5 6-303(a) [13526],LT,21,M,2013-01-19T00:00:00,2013-0119157,None,05-M-2-12-1,,5000,None
720 ILCS 5 16A-3(e) [15613],WH,52,F,2013-01-19T00:00:00,2013-0119156,None,04-I-1-8-2,,10000,None
625 ILCS 5 11-501(a)(2) [14722,LT,44,M,2013-01-19T00:00:00,2013-0119155,None,C TRANSFER,,10000,2013-01-20T05:24:15.831621
730 ILCS 150 3(a) [11411],BK,37,M,2013-01-19T00:00:00,2013-0119154,None,05-M-2-12-2,,100000,None
,WH,34,M,2013-01-19T00:00:00,2013-0119153,,03-B-3-11-2,,None,None
